"id","category","name","color1","color2","color3","color4","color5","colorsort1","colorsort2","colorsort3","colorsort4","colorsort5","hue","red","green","blue","h","s","v"
"1","Game Design","Dragon Idle","10190553","7992050","6799194","13693522","12540705","12540705","10190553","6799194","7992050","13693522","22.025316455696","191","91","33","22","83","75"
"2","Game Design","Valheim / UI Redesign","4506098","6202559","3565683","2310181","6189872","2310181","3565683","6189872","6202559","4506098","124.13793103448","35","64","37","124","45","25"
"3","Game Design","Luscus art (2016-2018)","9473522","3312601","7520754","10542066","15891512","3312601","15891512","9473522","7520754","10542066","208.02395209581","50","139","217","208","77","85"
"4","Game Design","Robin: Sherwood Marauders","14239842","3426675","15918928","14254616","15886409","3426675","14239842","15886409","14254616","15918928","220","52","73","115","220","55","45"
"5","Game Design","Illustrations - Crusader Kings III","15331314","4014123","9208134","12562531","5848098","4014123","5848098","9208134","12562531","15331314","68.571428571429","61","64","43","69","33","25"
"6","Game Design","Crash On The Run Concept Art","848411","15918653","15909685","15878412","7546399","7546399","15878412","848411","15909685","15918653","5","115","38","31","5","73","45"
"7","Game Design","Village Square","14256587","8706308","9486122","14256968","12535082","12535082","14256968","9486122","8706308","14256587","10.872483221477","191","69","42","11","78","75"
"8","Fashion","Liubov Pogorela","9409190","4606809","15915221","14257035","14268600","4606809","9409190","14257035","14268600","15915221","224.21052631579","70","75","89","224","21","35"
"9","Fashion","Zeynep Çelik","12538973","15907739","14259838","4202778","9195586","4202778","9195586","12538973","14259838","15907739","11.052631578947","64","33","26","11","59","25"
"10","Fashion","Edina Csoboth","2570329","2064780","14264203","7555644","14251615","2570329","7555644","2064780","14251615","14264203","219.6","39","56","89","220","56","35"
"11","Architecture","IND architects","6130342","3170419","11587033","3319462","10916402","3170419","6130342","3319462","10916402","11587033","197.01492537313","48","96","115","197","58","45"
"12","Architecture","HOLZBRÜCKE | FULL CGI","1329292","2714790","15912470","15889413","14226948","1329292","14226948","2714790","15889413","15912470","214","20","72","140","214","86","55"
"13","Travel","Yakobchuk Olena","14145497","1589337","6130342","12548927","9187099","1589337","9187099","6130342","12548927","14145497","203.07692307692","24","64","89","203","73","35"
"14","Travel","Tryfonov","4818572","10541529","14266726","12556649","10890541","10890541","4818572","12556649","14266726","10541529","0","166","45","45","0","73","65"
"15","Travel","Tierney","5333132","8820646","12570073","12552022","9195307","9195307","5333132","12552022","8820646","12570073","22.268041237113","0","0","0","0","0","0"
"16","Illustration","Graziela Andrade","15890819","15897792","15916706","15903633","7553334","7553334","15890819","15897792","15903633","15916706","10.819672131148","115","65","54","11","53","45"
"17","Flavour","Aliaksandr Barouski","14273154","15920095","14267785","10911581","9198666","9198666","10911581","14267785","14273154","15920095","16.363636363636","140","92","74","16","47","55"
"18","Travel","Simona","5148070","15911685","15900421","15908753","4205858","4205858","5148070","15900421","15911685","15908753","22","64","45","34","22","47","25"
"19","Travel","RightFramePhotoVideo","2899801","12238630","14014822","9203789","15894603","2899801","9203789","15894603","12238630","14014822","214.66666666667","44","63","89","215","51","35"
"20","Travel","Mrton","6202559","4020527","7317048","6655038","15921906","4020527","6655038","7317048","6202559","15921906","100","61","89","47","100","47","35"
"21","Travel","Biletskiy Evgeniy","14240356","7540265","1534579","6004390","7550761","7540265","7550761","1534579","14240356","6004390","343.9603960396","115","14","41","344","88","45"
"22","Fashion","Alena Saz","15902281","14263183","15911869","9193786","14232363","9193786","14232363","14263183","15902281","15911869","10.975609756098","140","73","58","11","59","55"
"23","Flavour","baibaz","10908312","11124602","14259308","12545616","15921906","12545616","10908312","14259308","11124602","15921906","16.216216216216","191","110","80","16","58","75"
"24","Flavour","Tatyana Sidyukova","12518438","11124602","14240423","239270","15903527","12518438","239270","14240423","11124602","15903527","349.09090909091","191","4","38","349","98","75"
"25","Travel","Tryfonov","12525356","8169106","15266512","14267652","9198914","12525356","9198914","8169106","14267652","15266512","355.125","191","31","44","355","84","75"
"26","Travel","Jag_cz","306623","311231","153945","10528259","15917257","153945","306623","311231","10528259","15917257","180","2","89","89","180","98","35"
"28","Travel","Sondem","2244641","5862221","3489837","7048265","5844002","2244641","5844002","3489837","5862221","7048265","118.06451612903","34","64","33","118","48","25"
"29","Game Design","Carlos Cavalcante","947049","887912","6012716","15897924","14254175","947049","887912","6012716","14254175","15897924","174.05940594059","14","115","105","174","88","45"
"30","Fashion","Macarena Ibsen","7537175","5846311","12550763","15909294","12539478","7537175","5846311","12539478","12550763","15909294","348.84955752212","115","2","23","349","98","45"
"31","Wilderness","Asian tropical rainforest","1517057","2899969","8955420","6255382","14014839","1517057","2899969","6255382","8955420","14014839","84.324324324324","23","38","1","84","97","15"
"32","Graphic Design","Rebranding Casa dos Rapazes","215718","219276","239164","15903056","15886409","215718","219276","239164","15886409","15903056","213.86503067485","3","74","166","214","98","65"
"33","Game Design","Merge Game - Objects & Props - Part 3","14769906","8664998","5327858","8627768","13955686","8664998","5327858","8627768","14769906","13955686","281.62162162162","132","55","166","282","67","65"
"34","Game Design","Isometric Game Design for Sunny House","5451174","296921","6320925","15900733","15891253","5451174","6320925","296921","15891253","15900733","258.84297520661","83","45","166","259","73","65"
